,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
the perfect pair___beabadoobee,0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,audio_features,41P6Tnd8KIHqON0QIydx6a,spotify:track:41P6Tnd8KIHqON0QIydx6a,https://api.spotify.com/v1/tracks/41P6Tnd8KIHqON0QIydx6a,https://api.spotify.com/v1/audio-analysis/41P6Tnd8KIHqON0QIydx6a,177533,4,Beatopia,2rhNQbqRNxiNQkDXTffe1V
Winter Wonderland - Remastered 2006___Bing Crosby,0.592,0.23,10,-13.603,1,0.0511,0.828,0,0.12,0.537,126.655,audio_features,2IuUMx3uxxJAHcH41aYtn0,spotify:track:2IuUMx3uxxJAHcH41aYtn0,https://api.spotify.com/v1/tracks/2IuUMx3uxxJAHcH41aYtn0,https://api.spotify.com/v1/audio-analysis/2IuUMx3uxxJAHcH41aYtn0,144253,4,Bing Crosby - Christmas Classics,3My4DXwRjAS5HXontsJx1A
Gangsta Boo (with Lil Tjay)___Ice Spice,0.873,0.578,1,-7.397,1,0.272,0.139,0,0.0953,0.765,147.074,audio_features,2g5q0UpOOFMNOcHGaMG4b0,spotify:track:2g5q0UpOOFMNOcHGaMG4b0,https://api.spotify.com/v1/tracks/2g5q0UpOOFMNOcHGaMG4b0,https://api.spotify.com/v1/audio-analysis/2g5q0UpOOFMNOcHGaMG4b0,159371,4,Like..?,53cTBnSWosJkQCDPHzumvg
Moral Conscience___Kali Uchis,0.397,0.537,6,-6.107,0,0.0327,0.027,9.51E-06,0.276,0.132,141.502,audio_features,5lrG8pjDvOJA8MdZB4YcfY,spotify:track:5lrG8pjDvOJA8MdZB4YcfY,https://api.spotify.com/v1/tracks/5lrG8pjDvOJA8MdZB4YcfY,https://api.spotify.com/v1/audio-analysis/5lrG8pjDvOJA8MdZB4YcfY,212967,4,Red Moon In Venus,5OZ44LaqZbpP3m9B3oT8br
Antichrist___The 1975,0.424,0.492,9,-8.505,0,0.0343,9.17E-05,0.745,0.0989,0.0971,119.99,audio_features,5wmBV7RrEDrEamTvCnuLxX,spotify:track:5wmBV7RrEDrEamTvCnuLxX,https://api.spotify.com/v1/tracks/5wmBV7RrEDrEamTvCnuLxX,https://api.spotify.com/v1/audio-analysis/5wmBV7RrEDrEamTvCnuLxX,283970,4,The 1975 (Deluxe Version),0mkOUedmYlOzCC4tOm2v0c
Should I Stay or Should I Go - Remastered___The Clash,0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,audio_features,39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz,188987,4,Combat Rock (Remastered),1ZH5g1RDq3GY1OvyD0w0s2
Double Negative (Skeleton Milkshake)___Dominic Fike,0.689,0.858,4,-2.868,1,0.161,0.00383,0,0.129,0.643,153.977,audio_features,7ACT6YaXbYvl7hRWEOOEHQ,spotify:track:7ACT6YaXbYvl7hRWEOOEHQ,https://api.spotify.com/v1/tracks/7ACT6YaXbYvl7hRWEOOEHQ,https://api.spotify.com/v1/audio-analysis/7ACT6YaXbYvl7hRWEOOEHQ,126465,4,What Could Possibly Go Wrong,1BubKJqf6Uc4fNae5kLJJ7
Scream___High School Musical Cast,0.632,0.843,3,-4.374,0,0.0429,0.0603,0,0.0662,0.542,110.983,audio_features,20QRXRV7wUFOIgBQCGnUy3,spotify:track:20QRXRV7wUFOIgBQCGnUy3,https://api.spotify.com/v1/tracks/20QRXRV7wUFOIgBQCGnUy3,https://api.spotify.com/v1/audio-analysis/20QRXRV7wUFOIgBQCGnUy3,236400,4,High School Musical 3: Senior Year,6j8k5gIeWzXapGKTVaZzER
Fear of Dying___Poppy,0.487,0.919,7,-4.194,1,0.0461,9.04E-06,0.272,0.267,0.592,93.998,audio_features,30NCaDbTGyUJKTMrQwgXQG,spotify:track:30NCaDbTGyUJKTMrQwgXQG,https://api.spotify.com/v1/tracks/30NCaDbTGyUJKTMrQwgXQG,https://api.spotify.com/v1/audio-analysis/30NCaDbTGyUJKTMrQwgXQG,163062,4,Fear of Dying,56Dlp0JgocLaF8r6HYZe0Z
#368 - This Company Was Blowing Up Your Dead Grandma's Body___The Basement Yard,,,,,,,,,,,,,,,,,,,,
10-20-40___Rina Sawayama,0.573,0.901,5,-4.084,0,0.0334,0.0458,0,0.168,0.673,98.011,audio_features,56YbKSljGEtc3kYD53PsKZ,spotify:track:56YbKSljGEtc3kYD53PsKZ,https://api.spotify.com/v1/tracks/56YbKSljGEtc3kYD53PsKZ,https://api.spotify.com/v1/audio-analysis/56YbKSljGEtc3kYD53PsKZ,195472,4,RINA,0rYXZCRBEsRBc4ZyRo8Y6w
Freedom (feat. Kendrick Lamar)___Beyoncé,0.437,0.803,2,-6.412,1,0.305,0.0376,0,0.683,0.406,84.378,audio_features,7aBxcRw77817BrkdPChAGY,spotify:track:7aBxcRw77817BrkdPChAGY,https://api.spotify.com/v1/tracks/7aBxcRw77817BrkdPChAGY,https://api.spotify.com/v1/audio-analysis/7aBxcRw77817BrkdPChAGY,289760,4,Lemonade,7dK54iZuOxXFarGhXwEXfF
save a seat___ROLE MODEL,0.605,0.353,0,-11.219,0,0.0419,0.56,0.000311,0.105,0.265,151.961,audio_features,3M9WDUmPCwpkwoItsRlOT2,spotify:track:3M9WDUmPCwpkwoItsRlOT2,https://api.spotify.com/v1/tracks/3M9WDUmPCwpkwoItsRlOT2,https://api.spotify.com/v1/audio-analysis/3M9WDUmPCwpkwoItsRlOT2,187560,4,Rx,1PhcZ4Ov6ZxuaUZF8r9rbk
A-Punk___Vampire Weekend,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,audio_features,3AydAydLzyyZutA0375XIz,spotify:track:3AydAydLzyyZutA0375XIz,https://api.spotify.com/v1/tracks/3AydAydLzyyZutA0375XIz,https://api.spotify.com/v1/audio-analysis/3AydAydLzyyZutA0375XIz,137760,4,Vampire Weekend,7n8NJkGKAl2np1bXiRn0CY
I know it won't work___Gracie Abrams,0.66,0.571,5,-8.947,0,0.0544,0.545,4.92E-05,0.129,0.407,119.883,audio_features,3weQKQG9ZuqgYAZVswovYS,spotify:track:3weQKQG9ZuqgYAZVswovYS,https://api.spotify.com/v1/tracks/3weQKQG9ZuqgYAZVswovYS,https://api.spotify.com/v1/audio-analysis/3weQKQG9ZuqgYAZVswovYS,245629,4,Good Riddance,1KR6xkLa2lvdvCABYlk7OO
Bless The Booth Freestyle___Megan Thee Stallion,0.681,0.635,6,-8.377,1,0.552,0.0169,0,0.0589,0.733,144.07,audio_features,09u7TwZOzYkASRWkzlYUCi,spotify:track:09u7TwZOzYkASRWkzlYUCi,https://api.spotify.com/v1/tracks/09u7TwZOzYkASRWkzlYUCi,https://api.spotify.com/v1/audio-analysis/09u7TwZOzYkASRWkzlYUCi,126667,4,Something for Thee Hotties,6B26OzQRObxAp1tbf8jeTq
Dawns (feat. Maggie Rogers)___Zach Bryan,0.447,0.441,0,-7.658,1,0.0456,0.874,4.36E-05,0.188,0.286,122.811,audio_features,42TtHTxWk782ZBiqyOi2d1,spotify:track:42TtHTxWk782ZBiqyOi2d1,https://api.spotify.com/v1/tracks/42TtHTxWk782ZBiqyOi2d1,https://api.spotify.com/v1/audio-analysis/42TtHTxWk782ZBiqyOi2d1,290892,4,Dawns (feat. Maggie Rogers),2Wpz5Xzsbr7hJg5Wb13p4m
"Love, I Thought You Had My Back___Keyshia Cole",0.626,0.749,7,-5.109,0,0.0444,0.0549,0,0.0358,0.685,145.983,audio_features,4GklWm2MNpEq7Pf748P1o8,spotify:track:4GklWm2MNpEq7Pf748P1o8,https://api.spotify.com/v1/tracks/4GklWm2MNpEq7Pf748P1o8,https://api.spotify.com/v1/audio-analysis/4GklWm2MNpEq7Pf748P1o8,250267,4,The Way It Is,4zEAsP0RIfbGARdtsgAaUV
Up On The House Top (Ho Ho Ho) (with Carl Cotner's Orchestra)___Gene Autry,0.743,0.19,1,-11.686,1,0.073,0.928,0,0.117,0.954,159.894,audio_features,4alUHNz5SiX3h4ML2ZebSp,spotify:track:4alUHNz5SiX3h4ML2ZebSp,https://api.spotify.com/v1/tracks/4alUHNz5SiX3h4ML2ZebSp,https://api.spotify.com/v1/audio-analysis/4alUHNz5SiX3h4ML2ZebSp,169533,4,Rudolph The Red Nosed Reindeer And Other Christmas Classics,3BPDSjoJlho8oiUPUNrShM
63: Brooke’s Golden Buzzer Moment___Brooke and Connor Make A Podcast,,,,,,,,,,,,,,,,,,,,
Physical___Dua Lipa,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,audio_features,3AzjcOeAmA57TIOr9zF1ZW,spotify:track:3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/tracks/3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/audio-analysis/3AzjcOeAmA57TIOr9zF1ZW,193829,4,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI
"DOGTOOTH___Tyler, The Creator",0.706,0.648,8,-6.348,1,0.324,0.505,0,0.215,0.802,77.533,audio_features,0judK8TqYfvwUohBngUxrE,spotify:track:0judK8TqYfvwUohBngUxrE,https://api.spotify.com/v1/tracks/0judK8TqYfvwUohBngUxrE,https://api.spotify.com/v1/audio-analysis/0judK8TqYfvwUohBngUxrE,161041,4,DOGTOOTH,1pdqT6DBwIA0WElEspOA0v
Bronco___THE DRIVER ERA,0.315,0.964,2,-3.912,1,0.111,0.00959,0.0438,0.108,0.241,164.613,audio_features,1GDXuWL09xXF0XpmJ1twgc,spotify:track:1GDXuWL09xXF0XpmJ1twgc,https://api.spotify.com/v1/tracks/1GDXuWL09xXF0XpmJ1twgc,https://api.spotify.com/v1/audio-analysis/1GDXuWL09xXF0XpmJ1twgc,208893,4,Bronco,2hCcPHWTbvF81CiXPUrM6I
You Right___Doja Cat,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,audio_features,0k4d5YPDr1r7FX77VdqWez,spotify:track:0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/tracks/0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/audio-analysis/0k4d5YPDr1r7FX77VdqWez,186173,4,Planet Her,1nAQbHeOWTfQzbOoFrvndW
MOONLIGHT SUNRISE___TWICE,0.749,0.781,1,-3.265,1,0.0578,0.392,2.12E-06,0.086,0.606,125.09,audio_features,5NcLyVjUgG0yfwHgr5t81w,spotify:track:5NcLyVjUgG0yfwHgr5t81w,https://api.spotify.com/v1/tracks/5NcLyVjUgG0yfwHgr5t81w,https://api.spotify.com/v1/audio-analysis/5NcLyVjUgG0yfwHgr5t81w,180320,4,MOONLIGHT SUNRISE,3Haj0Fa9S49LCeYcOiODcL
"Prélude in E minor, Op. 28, No. 4___Frédéric Chopin",0.388,0.00269,4,-32.97,0,0.0516,0.995,0.869,0.063,0.0397,63.386,audio_features,1Xf4sNtMKc1xiUhuIPAUg2,spotify:track:1Xf4sNtMKc1xiUhuIPAUg2,https://api.spotify.com/v1/tracks/1Xf4sNtMKc1xiUhuIPAUg2,https://api.spotify.com/v1/audio-analysis/1Xf4sNtMKc1xiUhuIPAUg2,146760,4,The Pianist (Original Motion Picture Soundtrack),3wzrKpVf1i1ef4HxabBU83
Sex Talk___Megan Thee Stallion,0.906,0.763,0,-6.322,1,0.398,0.147,0,0.107,0.58,139.961,audio_features,6hbg57wH6SyIDnPzwLeeXc,spotify:track:6hbg57wH6SyIDnPzwLeeXc,https://api.spotify.com/v1/tracks/6hbg57wH6SyIDnPzwLeeXc,https://api.spotify.com/v1/audio-analysis/6hbg57wH6SyIDnPzwLeeXc,131209,4,Fever,5WLquTz7nUnsHCj80b6wci
Miss Camaraderie___Azealia Banks,0.565,0.878,11,-7.071,0,0.0955,0.00071,6.48E-06,0.314,0.206,134.989,audio_features,5mEkLflNw2BilpJvJ0W7UC,spotify:track:5mEkLflNw2BilpJvJ0W7UC,https://api.spotify.com/v1/tracks/5mEkLflNw2BilpJvJ0W7UC,https://api.spotify.com/v1/audio-analysis/5mEkLflNw2BilpJvJ0W7UC,309053,4,Broke with Expensive Taste,6ptPMZzScoFqSVfzph6m9B
"Two Ghosts - Recorded at Metropolis Studios, London___Harry Styles",0.535,0.231,6,-10.827,0,0.0311,0.475,0,0.102,0.291,133.625,audio_features,1GDF5AusV7p0wwi4OVNz3i,spotify:track:1GDF5AusV7p0wwi4OVNz3i,https://api.spotify.com/v1/tracks/1GDF5AusV7p0wwi4OVNz3i,https://api.spotify.com/v1/audio-analysis/1GDF5AusV7p0wwi4OVNz3i,224256,4,Spotify Singles,7neiWgd56IO7vi2cRUP8Tj
Complicated___Avril Lavigne,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74E-06,0.3,0.427,77.987,audio_features,5xEM5hIgJ1jjgcEBfpkt2F,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/audio-analysis/5xEM5hIgJ1jjgcEBfpkt2F,244507,4,Let Go,3zXjR3y2dUWklKmmp6lEhy
Rich Girl___Gwen Stefani,0.856,0.754,7,-2.728,0,0.0416,0.0294,1.49E-05,0.206,0.722,98.018,audio_features,2Y2q7PkD7lvuWr8YaZfWuv,spotify:track:2Y2q7PkD7lvuWr8YaZfWuv,https://api.spotify.com/v1/tracks/2Y2q7PkD7lvuWr8YaZfWuv,https://api.spotify.com/v1/audio-analysis/2Y2q7PkD7lvuWr8YaZfWuv,236213,4,Love Angel Music Baby (Deluxe Version),3Lqn8M0QxPLIPRJ4nUKTGN
Centerfold___The J. Geils Band,0.653,0.677,0,-12.244,1,0.0396,0.249,0,0.403,0.888,114.37,audio_features,1ynmMEK1fkyiZ6Z6F3ThEt,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,https://api.spotify.com/v1/tracks/1ynmMEK1fkyiZ6Z6F3ThEt,https://api.spotify.com/v1/audio-analysis/1ynmMEK1fkyiZ6Z6F3ThEt,216533,4,Freeze Frame,48joW5905AMbTFLvy8ZWch
What’s New___Megan Thee Stallion,0.934,0.873,1,-4.707,1,0.309,0.00488,0,0.0832,0.721,139.997,audio_features,3jRHehB5ulTMKfK5WaqDqc,spotify:track:3jRHehB5ulTMKfK5WaqDqc,https://api.spotify.com/v1/tracks/3jRHehB5ulTMKfK5WaqDqc,https://api.spotify.com/v1/audio-analysis/3jRHehB5ulTMKfK5WaqDqc,155090,4,Good News,0KjckH1EE6HRRurMIXSc0r
Mine___Taylor Swift,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87E-06,0.189,0.658,121.07,audio_features,0dBW6ZsW8skfvoRfgeerBF,spotify:track:0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/tracks/0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/audio-analysis/0dBW6ZsW8skfvoRfgeerBF,230707,4,Speak Now,5MfAxS5zz8MlfROjGQVXhy
Hot Like Fire___Aaliyah,0.75,0.641,0,-5.165,1,0.132,0.177,0.0171,0.127,0.849,82.541,audio_features,0AVpYUg9VAvkOqlqfCyn30,spotify:track:0AVpYUg9VAvkOqlqfCyn30,https://api.spotify.com/v1/tracks/0AVpYUg9VAvkOqlqfCyn30,https://api.spotify.com/v1/audio-analysis/0AVpYUg9VAvkOqlqfCyn30,275250,4,One In A Million,79EIRdmpPSIWfRlxaZdJbG
Many Men (Wish Death)___50 Cent,0.653,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.416,108.52,audio_features,2I9foKseoFQh07p6sD2voE,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/audio-analysis/2I9foKseoFQh07p6sD2voE,256227,5,Get Rich Or Die Tryin',4ycNE7y1rp5215g1kkqk1P
Millionaire___Two Door Cinema Club,0.686,0.855,11,-6.6,1,0.116,0.0252,0,0.037,0.763,176.002,audio_features,1mVTQSGoFchL3VVrIa0MeH,spotify:track:1mVTQSGoFchL3VVrIa0MeH,https://api.spotify.com/v1/tracks/1mVTQSGoFchL3VVrIa0MeH,https://api.spotify.com/v1/audio-analysis/1mVTQSGoFchL3VVrIa0MeH,224933,4,Tasty,5YXBnZzECnOFgssE5q43go
I've Got a Friend___Maggie Rogers,0.739,0.393,7,-7.773,1,0.0411,0.563,0,0.608,0.452,134.961,audio_features,6E1cegf6QEL0J3bCt5tCIC,spotify:track:6E1cegf6QEL0J3bCt5tCIC,https://api.spotify.com/v1/tracks/6E1cegf6QEL0J3bCt5tCIC,https://api.spotify.com/v1/audio-analysis/6E1cegf6QEL0J3bCt5tCIC,192467,4,Surrender,2VeOtQQAJxR8VyvmoXqIbI
Twilight Time - Single Version___The Platters,0.455,0.361,9,-12.562,1,0.0473,0.747,0,0.238,0.285,115.854,audio_features,3MpGQae6zAFd7Z1FdLV9fV,spotify:track:3MpGQae6zAFd7Z1FdLV9fV,https://api.spotify.com/v1/tracks/3MpGQae6zAFd7Z1FdLV9fV,https://api.spotify.com/v1/audio-analysis/3MpGQae6zAFd7Z1FdLV9fV,168293,3,The Flying Platters Around The World,0UvGTptcqQEJ2u5yACvlUH
Politics & Violence___Dominic Fike,0.379,0.561,9,-6.451,1,0.0608,0.481,0.0113,0.11,0.148,189.542,audio_features,4keHa1UN3c9OWHVv3BE5ra,spotify:track:4keHa1UN3c9OWHVv3BE5ra,https://api.spotify.com/v1/tracks/4keHa1UN3c9OWHVv3BE5ra,https://api.spotify.com/v1/audio-analysis/4keHa1UN3c9OWHVv3BE5ra,197847,4,What Could Possibly Go Wrong,1BubKJqf6Uc4fNae5kLJJ7
S2 Ep6: Trying to get Kelsey Taylor Swift Tickets___Insanely Chill w/ Cody Ko,0.664,0.447,0,-8.404,1,0.0341,0.577,0,0.0968,0.431,90.976,audio_features,1Fj0T1XKuhRu7EZzJ7NJIK,spotify:track:1Fj0T1XKuhRu7EZzJ7NJIK,https://api.spotify.com/v1/tracks/1Fj0T1XKuhRu7EZzJ7NJIK,https://api.spotify.com/v1/audio-analysis/1Fj0T1XKuhRu7EZzJ7NJIK,228461,4,Spotify Singles,74utZeTCeaXy01BjOddyv8
R U Mine?___Arctic Monkeys,0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,audio_features,2AT8iROs4FQueDv2c8q2KE,spotify:track:2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/audio-analysis/2AT8iROs4FQueDv2c8q2KE,201726,4,AM,78bpIziExqiI9qztvNFlQu
Tequila Shots___Kid Cudi,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04E-05,0.527,0.22,90.494,audio_features,30KctD1WsHKTIYczXjip5a,spotify:track:30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/tracks/30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/audio-analysis/30KctD1WsHKTIYczXjip5a,193293,4,Man On The Moon III: The Chosen,64nbgEEIcY4g1ElVLONJ0w
Episode Forty-Two: Cosplay___Violating Community Guidelines with Brittany Broski and Sarah Schauer,0.712,0.191,6,-15.381,0,0.949,0.818,0,0.738,0.552,78.36,audio_features,0fwKgvzQ00w3JCHXTTpbp5,spotify:track:0fwKgvzQ00w3JCHXTTpbp5,https://api.spotify.com/v1/tracks/0fwKgvzQ00w3JCHXTTpbp5,https://api.spotify.com/v1/audio-analysis/0fwKgvzQ00w3JCHXTTpbp5,148563,4,But I Control Me,6UedfMYzGvDGnhCMhgd6AX
Ashtray - Sachi of Joy Again Remix___Hippo Campus,0.555,0.627,6,-14.338,1,0.0852,0.0335,0.000233,0.331,0.494,99.477,audio_features,79A5OQOrwkSVuIEYLtPhlR,spotify:track:79A5OQOrwkSVuIEYLtPhlR,https://api.spotify.com/v1/tracks/79A5OQOrwkSVuIEYLtPhlR,https://api.spotify.com/v1/audio-analysis/79A5OQOrwkSVuIEYLtPhlR,159196,3,Ashtray (Sachi of Joy Again Remix),6H6A3ZS7EEPN5IClASA4rH
No Option___Post Malone,0.575,0.734,2,-4.949,1,0.057,0.0757,0,0.241,0.494,83.986,audio_features,6M0IsaUX4GNyto4niSegfI,spotify:track:6M0IsaUX4GNyto4niSegfI,https://api.spotify.com/v1/tracks/6M0IsaUX4GNyto4niSegfI,https://api.spotify.com/v1/audio-analysis/6M0IsaUX4GNyto4niSegfI,179827,4,Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC
Die For You - Remix___The Weeknd,0.531,0.525,1,-6.5,0,0.0671,0.232,0,0.441,0.502,66.9,audio_features,7oDd86yk8itslrA9HRP2ki,spotify:track:7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/audio-analysis/7oDd86yk8itslrA9HRP2ki,232857,4,Die For You (Remix),6Exo0MYoL3XammoTDeihFy
failure (part one: failing as a human being)___Anything Goes with Emma Chamberlain,0.567,0.297,7,-12.174,1,0.0311,0.21,3.06E-06,0.11,0.188,115.043,audio_features,5F2Gisx5W7QSUcfUUgrXWy,spotify:track:5F2Gisx5W7QSUcfUUgrXWy,https://api.spotify.com/v1/tracks/5F2Gisx5W7QSUcfUUgrXWy,https://api.spotify.com/v1/audio-analysis/5F2Gisx5W7QSUcfUUgrXWy,201373,4,Alas I Cannot Swim,1P3B7c85W4mTXHk0fafGw2
Work It (feat. 50 Cent) - Remix___Missy Elliott,0.842,0.748,1,-5.361,1,0.279,0.061,0,0.0877,0.622,101.753,audio_features,7Ml5yFM5H8gCQ4U4NSe4Bc,spotify:track:7Ml5yFM5H8gCQ4U4NSe4Bc,https://api.spotify.com/v1/tracks/7Ml5yFM5H8gCQ4U4NSe4Bc,https://api.spotify.com/v1/audio-analysis/7Ml5yFM5H8gCQ4U4NSe4Bc,304560,4,Under Construction,6DeU398qrJ1bLuryetSmup
Im The Bomb___10k.Caash,0.699,0.457,1,-11.724,1,0.154,0.00217,0.112,0.099,0.563,178.159,audio_features,0r3afoF2YLR0m1d2OwWYyg,spotify:track:0r3afoF2YLR0m1d2OwWYyg,https://api.spotify.com/v1/tracks/0r3afoF2YLR0m1d2OwWYyg,https://api.spotify.com/v1/audio-analysis/0r3afoF2YLR0m1d2OwWYyg,318360,4,Im The Bomb,36j6wcsqEOVRZxRVpX4Gc1
Endlessly___THE DRIVER ERA,0.59,0.687,1,-7.725,1,0.101,0.658,0.00016,0.117,0.843,192.123,audio_features,4VUXAoJESfRV3ceUYtzfpQ,spotify:track:4VUXAoJESfRV3ceUYtzfpQ,https://api.spotify.com/v1/tracks/4VUXAoJESfRV3ceUYtzfpQ,https://api.spotify.com/v1/audio-analysis/4VUXAoJESfRV3ceUYtzfpQ,154120,4,Ivory (Marfil),3ZexesAv5PN4RPMiEkOEXC
"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)___Franz Schubert",0.209,0.00299,2,-33.974,1,0.0491,0.992,0.955,0.104,0.039,66.685,audio_features,4b59u2E74KcDuyHCRBkf5v,spotify:track:4b59u2E74KcDuyHCRBkf5v,https://api.spotify.com/v1/tracks/4b59u2E74KcDuyHCRBkf5v,https://api.spotify.com/v1/audio-analysis/4b59u2E74KcDuyHCRBkf5v,442172,3,Schubert,073hIhdGDDOfOXDiYvO0kC
242: MGK and Megan Fox’s New Movie | TMG___The Tiny Meat Gang Podcast,0.884,0.615,11,-5.352,1,0.194,0.00527,0,0.271,0.411,152.052,audio_features,0jyOHNhaRUBeFG0U7wNLMp,spotify:track:0jyOHNhaRUBeFG0U7wNLMp,https://api.spotify.com/v1/tracks/0jyOHNhaRUBeFG0U7wNLMp,https://api.spotify.com/v1/audio-analysis/0jyOHNhaRUBeFG0U7wNLMp,113684,4,Something for Thee Hotties,6B26OzQRObxAp1tbf8jeTq
Difficult___Gracie Abrams,0.598,0.603,2,-9.075,1,0.1,0.453,5.72E-06,0.151,0.443,146.067,audio_features,4OWcHdAmVvcL6o8RQYogXh,spotify:track:4OWcHdAmVvcL6o8RQYogXh,https://api.spotify.com/v1/tracks/4OWcHdAmVvcL6o8RQYogXh,https://api.spotify.com/v1/audio-analysis/4OWcHdAmVvcL6o8RQYogXh,258902,4,Good Riddance,5ZCIbfKnv3GF5h5h8MiRzQ
White Christmas___Bing Crosby,0.226,0.202,9,-16.222,1,0.0333,0.907,5.55E-05,0.387,0.186,94.208,audio_features,3XsaSIPWvM61RIFfeb0BBR,spotify:track:3XsaSIPWvM61RIFfeb0BBR,https://api.spotify.com/v1/tracks/3XsaSIPWvM61RIFfeb0BBR,https://api.spotify.com/v1/audio-analysis/3XsaSIPWvM61RIFfeb0BBR,183613,4,White Christmas,42KK3F8HTm1dyv5iFsCXdw
Sleep Walk___Santo & Johnny,0.779,0.212,10,-9.759,0,0.0362,0.759,0.959,0.235,0.444,94.675,audio_features,0yK8sWD6cfrc7pGfaPIcZH,spotify:track:0yK8sWD6cfrc7pGfaPIcZH,https://api.spotify.com/v1/tracks/0yK8sWD6cfrc7pGfaPIcZH,https://api.spotify.com/v1/audio-analysis/0yK8sWD6cfrc7pGfaPIcZH,145333,3,Canadian American Greatest Hits 50th Anniversary Collection,5toxcaerHCTPDtIcQOTRx8
Slide Out The Window___Inhaler,0.426,0.81,1,-7.684,0,0.0323,0.000695,0.021,0.0689,0.638,183.956,audio_features,4dNZ1oziNqt5sojwl6DFq0,spotify:track:4dNZ1oziNqt5sojwl6DFq0,https://api.spotify.com/v1/tracks/4dNZ1oziNqt5sojwl6DFq0,https://api.spotify.com/v1/audio-analysis/4dNZ1oziNqt5sojwl6DFq0,275853,4,It Won't Always Be Like This,54NhZZmsHYbKtTjarvGPwu
Reptilia___The Strokes,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,audio_features,57Xjny5yNzAcsxnusKmAfA,spotify:track:57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/tracks/57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/audio-analysis/57Xjny5yNzAcsxnusKmAfA,219827,4,Room On Fire,3HFbH1loOUbqCyPsLuHLLh
Boys Don't Cry - Single Version___The Cure,0.465,0.841,11,-5.767,0,0.0633,0.00486,0,0.109,0.689,168.743,audio_features,4dneV7C1yDt9UtyxrQY375,spotify:track:4dneV7C1yDt9UtyxrQY375,https://api.spotify.com/v1/tracks/4dneV7C1yDt9UtyxrQY375,https://api.spotify.com/v1/audio-analysis/4dneV7C1yDt9UtyxrQY375,157533,4,Three Imaginary Boys (Deluxe Edition),7gPql7GFpBMOxeO80vMMsC
Backup Plan___Maya Hawke,0.616,0.377,0,-12.867,1,0.0344,0.963,0.000962,0.127,0.494,140.058,audio_features,1eT1XL1oIeRzGlFdcjQjUG,spotify:track:1eT1XL1oIeRzGlFdcjQjUG,https://api.spotify.com/v1/tracks/1eT1XL1oIeRzGlFdcjQjUG,https://api.spotify.com/v1/audio-analysis/1eT1XL1oIeRzGlFdcjQjUG,197469,4,MOSS,53RbAh13qFqN6wKraRLipl
